City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
520,Carmo Do Rio Claro,-20.9719,-46.1189,67.46,42,91,2.55,BR,overcast clouds
521,Litovko,49.2361,135.1742,78.87,82,67,10.09,RU,light rain
522,Ust-Nera,64.5667,143.2,65.97,74,93,4.7,RU,light rain
523,Nabire,-3.3667,135.4833,75.16,91,99,2.95,ID,overcast clouds
524,Hutchinson,38.0608,-97.9298,89.82,59,40,1.01,US,scattered clouds
525,Grindavik,63.8424,-22.4338,51.75,93,90,12.66,IS,overcast clouds
526,Exeter,50.7236,-3.5275,69.96,83,4,5.64,GB,clear sky
527,Chumikan,54.7183,135.315,66.22,72,69,22.44,RU,light rain
528,Cabo San Lucas,22.8909,-109.9124,99.52,51,1,10.36,MX,clear sky
529,New Richmond,45.123,-92.5366,86.76,30,75,0.0,US,broken clouds
530,Mount Isa,-20.7333,139.5,38.97,65,57,1.14,AU,broken clouds
531,Beloha,-25.1667,45.05,64.36,87,59,14.38,MG,broken clouds
532,Anloga,5.7947,0.8973,77.22,90,100,16.33,GH,moderate rain
533,Toamasina,-18.1667,49.3833,66.2,94,75,5.75,MG,light rain
534,Coquimbo,-29.9533,-71.3436,56.93,71,0,10.36,CL,clear sky
535,Qui Nhon,13.7667,109.2333,77.67,86,97,4.5,VN,overcast clouds
536,Viedma,-40.8135,-62.9967,46.65,56,100,8.39,AR,overcast clouds
537,Mocuba,-16.8392,36.9856,58.66,83,9,4.47,MZ,clear sky
538,Bikaner,28.0167,73.3,91.36,54,99,8.48,IN,overcast clouds
539,Nuevo Progreso,23.1667,-97.95,91.6,65,100,4.0,MX,overcast clouds
540,Tarakan,3.3,117.6333,80.1,83,40,8.05,ID,scattered clouds
541,Nakamura,32.9833,132.9333,73.76,97,100,9.4,JP,heavy intensity rain
542,Yerbogachen,61.2767,108.0108,60.57,83,96,5.19,RU,light rain
543,Kulu,39.0951,33.0799,75.29,44,0,6.6,TR,clear sky
